variant,symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,outcome,notes
wave_sequence_best_return,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:45:00,110.35,111.99,-1.4861803352967835,-15.661803352967837,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
wave_sequence_best_return,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:40:00,49.95,48.72,2.4624624624624705,23.8246246246247,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
wave_sequence_best_return,RBLX,2024-10-31,2,Long,2024-10-31T13:43:00,2024-10-31T14:03:00,49.74,51.8001,4.141737032569357,40.61737032569358,Counter-signal exit,Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | session_exit=eod
wave_sequence_best_return,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:38:00,225.26,219.32,2.6369528544792677,25.56952854479268,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
wave_sequence_best_return,TEAM,2024-11-01,2,Long,2024-11-01T13:39:00,2024-11-01T13:53:00,221.24,216.92061999999999,-1.9523503887181448,-20.32350388718145,SL hit,Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | session_exit=eod
wave_sequence_best_return,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:58:00,342.93,349.755,-1.9902020820575592,-20.702020820575594,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
wave_sequence_best_return,APP,2025-05-08,2,Long,2025-05-08T13:59:00,2025-05-08T14:11:00,350.8549,355.03,1.1899791053224529,10.870002947736637,Counter-signal exit,Entry: Long @ 350.8549 (signal-bar close) | regime=earnings_wave_long | SL=345.5921 | TP=none | session_exit=eod
wave_sequence_best_return,IDXX,2025-08-04,1,Short,2025-08-04T13:59:00,2025-08-04T14:09:00,650.5,657.355,-1.0538047655649527,-11.338047655649529,Counter-signal exit,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
wave_sequence_best_return,IDXX,2025-08-04,2,Long,2025-08-04T14:10:00,2025-08-04T14:30:00,656.01,668.895,1.9641468880047548,18.62784340798313,Counter-signal exit,Entry: Long @ 656.0100 (signal-bar close) | regime=earnings_wave_long | SL=646.1698 | TP=none | session_exit=eod
wave_sequence_best_return,APLD,2025-10-10,1,Short,2025-10-10T13:11:00,2025-10-10T13:21:00,36.7603,36.98,-0.5976556230498554,-6.776556230498554,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_wave_short | SL=38.9825 | TP=none | session_exit=eod
wave_sequence_best_return,APLD,2025-10-10,2,Long,2025-10-10T13:27:00,2025-10-10T13:30:00,37.04,36.449980000000004,-1.592926565874718,-16.61589884931573,SL hit,Entry: Long @ 37.0400 (signal-bar close) | regime=earnings_wave_long | SL=36.4500 | TP=none | session_exit=eod
